,地震編號,臺灣時間,Longitude,Latitude,magnitude,depth,震央位置
101,小區域,2月06日21時36分,121.67,24.17,3.7,9,花蓮縣政府北偏東方  20.2  公里 (位於花蓮縣近海)
102,第022號,2月06日23時50分,121.69,24.14,6,10,花蓮縣政府北偏東方  18.3  公里 (位於花蓮縣近海)
103,第023號,2月06日23時53分,121.59,23.98,5,5.1,花蓮縣政府西偏南方  3.1  公里 (位於花蓮縣花蓮市)
104,小區域,2月06日23時54分,121.58,24.03,4.6,6.3,花蓮縣政府西北方  5.6  公里 (位於花蓮縣秀林鄉)
105,小區域,2月06日23時57分,121.64,24.07,3.4,6.2,花蓮縣政府北偏東方  9.1  公里 (位於花蓮縣近海)
106,小區域,2月06日23時58分,121.63,24.07,3.6,9.5,花蓮縣政府北方  8.3  公里 (位於花蓮縣近海)
107,小區域,2月06日23時59分,121.66,24.11,4,10.5,花蓮縣政府北偏東方  14.0  公里 (位於花蓮縣近海)
108,小區域,2月07日00時00分,121.68,24.04,3.4,6,花蓮縣政府東北方  8.0  公里 (位於花蓮縣近海)
109,小區域,2月07日00時01分,121.62,24.04,3.4,4.5,花蓮縣政府北方  6.0  公里 (位於花蓮縣近海)
110,小區域,2月07日00時03分,121.6,24.05,3.5,7.1,花蓮縣政府北偏西方  6.4  公里 (位於花蓮縣新城鄉)
111,小區域,2月07日00時03分,121.59,24.03,3.6,6.5,花蓮縣政府西北方  5.2  公里 (位於花蓮縣新城鄉)
112,小區域,2月07日00時04分,121.58,23.99,3.3,6.6,花蓮縣政府西方  3.6  公里 (位於花蓮縣吉安鄉)
113,小區域,2月07日00時06分,121.62,24.04,3.9,1.5,花蓮縣政府北方  5.2  公里 (位於花蓮縣近海)
114,小區域,2月07日00時07分,121.58,23.96,3.2,9.6,花蓮縣政府西南方  5.2  公里 (位於花蓮縣吉安鄉)
115,小區域,2月07日00時11分,121.59,23.99,3.1,6.1,花蓮縣政府西方  2.6  公里 (位於花蓮縣吉安鄉)
116,第024號,2月07日00時13分,121.61,24.03,4,2.6,花蓮縣政府北偏西方  4.0  公里 (位於花蓮縣新城鄉)
117,小區域,2月07日00時16分,121.56,23.96,3.8,6.7,花蓮縣政府西偏南方  6.6  公里 (位於花蓮縣吉安鄉)
118,第025號,2月07日00時17分,121.62,24.01,4.7,5,花蓮縣政府北方  2.4  公里 (位於花蓮縣花蓮市)
119,小區域,2月07日00時18分,121.61,24.02,3.5,6.2,花蓮縣政府北偏西方  3.9  公里 (位於花蓮縣新城鄉)
120,小區域,2月07日00時19分,121.62,24.01,3.2,5.6,花蓮縣政府北方  2.6  公里 (位於花蓮縣花蓮市)
121,小區域,2月07日00時20分,121.62,24.02,3.2,3,花蓮縣政府北方  3.5  公里 (位於花蓮縣花蓮市)
122,小區域,2月07日00時21分,121.58,24.05,2.8,2.9,花蓮縣政府北偏西方  7.4  公里 (位於花蓮縣秀林鄉)
123,小區域,2月07日00時23分,121.63,24.11,3.3,8.8,花蓮縣政府北方  12.7  公里 (位於花蓮縣新城鄉)
124,第026號,2月07日00時26分,121.6,24.01,4.1,6.3,花蓮縣政府西北方  3.3  公里 (位於花蓮縣新城鄉)
125,小區域,2月07日00時28分,121.62,24.08,3.4,9,花蓮縣政府北方  10.2  公里 (位於花蓮縣近海)
126,小區域,2月07日00時31分,121.61,24.06,3.5,6.7,花蓮縣政府北方  7.8  公里 (位於花蓮縣近海)
127,小區域,2月07日00時32分,121.61,24.07,3.3,5.3,花蓮縣政府北方  8.5  公里 (位於花蓮縣近海)
128,小區域,2月07日00時34分,121.61,24.03,3.4,5,花蓮縣政府北偏西方  4.9  公里 (位於花蓮縣新城鄉)
129,小區域,2月07日00時35分,121.64,24.06,4,4.5,花蓮縣政府北偏東方  7.5  公里 (位於花蓮縣近海)
130,小區域,2月07日00時38分,121.57,24.02,2.9,6.8,花蓮縣政府西偏北方  5.5  公里 (位於花蓮縣秀林鄉)
131,小區域,2月07日00時38分,121.58,24.01,3,5.9,花蓮縣政府西偏北方  4.5  公里 (位於花蓮縣花蓮市)
132,小區域,2月07日00時39分,121.63,24.06,3.3,6.9,花蓮縣政府北方  8.2  公里 (位於花蓮縣近海)
133,小區域,2月07日00時44分,121.59,24.01,3.8,5.1,花蓮縣政府西偏北方  4.0  公里 (位於花蓮縣花蓮市)
134,小區域,2月07日00時46分,121.68,24.09,3.7,7.3,花蓮縣政府北偏東方  13.2  公里 (位於花蓮縣近海)
135,小區域,2月07日00時55分,121.63,24.06,3.6,8,花蓮縣政府北偏東方  7.3  公里 (位於花蓮縣近海)
136,小區域,2月07日00時57分,121.65,24.05,3.4,6.6,花蓮縣政府北偏東方  7.7  公里 (位於花蓮縣近海)
137,小區域,2月07日00時57分,121.59,24.01,3.2,6.3,花蓮縣政府西偏北方  4.1  公里 (位於花蓮縣花蓮市)
138,小區域,2月07日01時01分,121.58,24,2.9,6.7,花蓮縣政府西偏北方  4.5  公里 (位於花蓮縣花蓮市)
139,小區域,2月07日01時02分,121.76,24.21,4.1,11.8,花蓮縣政府北偏東方  27.7  公里 (位於花蓮縣近海)
140,小區域,2月07日01時06分,121.56,24,3.3,7,花蓮縣政府西偏北方  5.9  公里 (位於花蓮縣花蓮市)
141,小區域,2月07日01時09分,121.62,24.07,3.5,10.5,花蓮縣政府北方  8.5  公里 (位於花蓮縣近海)
142,小區域,2月07日01時11分,121.66,24.13,3.5,10.5,花蓮縣政府北偏東方  16.2  公里 (位於花蓮縣近海)
143,小區域,2月07日01時16分,121.65,24.11,3.4,10.4,花蓮縣政府北偏東方  13.3  公里 (位於花蓮縣近海)
144,小區域,2月07日01時17分,121.57,23.99,3.1,9,花蓮縣政府西方  4.7  公里 (位於花蓮縣吉安鄉)
145,小區域,2月07日01時18分,121.6,24.02,3.7,9.8,花蓮縣政府西北方  4.0  公里 (位於花蓮縣新城鄉)
146,小區域,2月07日01時19分,121.71,24.11,3.5,8,花蓮縣政府東北方  16.0  公里 (位於花蓮縣近海)
147,小區域,2月07日01時20分,121.58,24.12,3.1,8.8,花蓮縣政府北偏西方  14.4  公里 (位於花蓮縣秀林鄉)
148,小區域,2月07日01時23分,121.65,24.16,3.9,5,花蓮縣政府北方  19.3  公里 (位於花蓮縣秀林鄉)
149,小區域,2月07日01時27分,121.6,24.03,3,8.5,花蓮縣政府北偏西方  4.9  公里 (位於花蓮縣新城鄉)
150,小區域,2月07日01時32分,121.57,23.99,3.1,11.2,花蓮縣政府西方  4.7  公里 (位於花蓮縣吉安鄉)
151,小區域,2月07日01時41分,121.61,24.04,3.3,7.8,花蓮縣政府北方  5.6  公里 (位於花蓮縣新城鄉)
152,小區域,2月07日01時45分,121.64,24.07,3.5,7.9,花蓮縣政府北偏東方  8.7  公里 (位於花蓮縣近海)
153,小區域,2月07日01時49分,121.58,24.01,3,6.4,花蓮縣政府西偏北方  4.2  公里 (位於花蓮縣花蓮市)
154,第027號,2月07日01時50分,121.58,24.01,4.1,5.5,花蓮縣政府西偏北方  4.3  公里 (位於花蓮縣花蓮市)
155,小區域,2月07日01時56分,121.64,24.08,3.6,8.1,花蓮縣政府北偏東方  9.9  公里 (位於花蓮縣近海)
156,第028號,2月07日02時00分,121.71,24.14,5.2,10,花蓮縣政府北偏東方  18.7  公里 (位於花蓮縣近海)
157,小區域,2月07日02時02分,121.65,24.05,3.3,4.5,花蓮縣政府北偏東方  7.0  公里 (位於花蓮縣近海)
158,小區域,2月07日02時06分,121.63,24.08,3.6,7.4,花蓮縣政府北方  10.0  公里 (位於花蓮縣近海)
159,第029號,2月07日02時07分,121.81,24.04,5.4,10,花蓮縣政府東偏北方  20.7  公里 (位於臺灣東部海域)
160,小區域,2月07日02時08分,121.63,24.04,3.8,6.8,花蓮縣政府北偏東方  6.0  公里 (位於花蓮縣近海)
161,第030號,2月07日02時09分,121.61,24.06,4,7.4,花蓮縣政府北方  7.1  公里 (位於花蓮縣近海)
162,小區域,2月07日02時10分,121.61,24.05,3.7,7.6,花蓮縣政府北方  6.1  公里 (位於花蓮縣新城鄉)
163,小區域,2月07日02時27分,121.59,24,3.7,6.1,花蓮縣政府西偏北方  2.7  公里 (位於花蓮縣花蓮市)
164,小區域,2月07日02時28分,121.59,24,3.1,5.4,花蓮縣政府西偏北方  3.1  公里 (位於花蓮縣花蓮市)
165,小區域,2月07日02時29分,121.63,24.03,3.3,8.7,花蓮縣政府北方  4.5  公里 (位於花蓮縣近海)
166,小區域,2月07日02時32分,121.58,24,3,7.4,花蓮縣政府西方  3.8  公里 (位於花蓮縣花蓮市)
167,小區域,2月07日02時37分,121.65,24.11,3.4,9.1,花蓮縣政府北偏東方  13.4  公里 (位於花蓮縣近海)
168,小區域,2月07日02時38分,121.71,24.11,3.6,8.7,花蓮縣政府東北方  15.9  公里 (位於花蓮縣近海)
169,小區域,2月07日02時41分,121.57,23.99,3.1,10.6,花蓮縣政府西方  5.1  公里 (位於花蓮縣吉安鄉)
170,小區域,2月07日02時56分,121.6,24.04,3.2,6.5,花蓮縣政府北偏西方  6.0  公里 (位於花蓮縣新城鄉)
171,小區域,2月07日03時01分,121.61,24.08,3.8,7.3,花蓮縣政府北方  9.8  公里 (位於花蓮縣近海)
172,小區域,2月07日03時03分,121.6,24.06,3.5,5.2,花蓮縣政府北偏西方  8.1  公里 (位於花蓮縣新城鄉)
173,小區域,2月07日03時05分,121.57,23.97,3,12.2,花蓮縣政府西偏南方  5.5  公里 (位於花蓮縣吉安鄉)
174,小區域,2月07日03時10分,121.58,24.02,3.9,7.4,花蓮縣政府西北方  5.3  公里 (位於花蓮縣新城鄉)
175,小區域,2月07日03時13分,121.66,24.13,3.5,10.8,花蓮縣政府北偏東方  15.5  公里 (位於花蓮縣近海)
176,第031號,2月07日03時15分,121.7,24.02,5.4,10,花蓮縣政府東偏北方  9.1  公里 (位於花蓮縣近海)
177,小區域,2月07日03時16分,121.63,24.07,3.8,7.5,花蓮縣政府北方  8.8  公里 (位於花蓮縣近海)
178,小區域,2月07日03時17分,121.58,24,3.9,3.7,花蓮縣政府西偏北方  3.9  公里 (位於花蓮縣花蓮市)
179,小區域,2月07日03時25分,121.66,24.02,3.6,26.8,花蓮縣政府東北方  4.9  公里 (位於花蓮縣近海)
180,小區域,2月07日03時32分,121.65,24.1,3.2,8.9,花蓮縣政府北偏東方  12.3  公里 (位於花蓮縣近海)
181,小區域,2月07日03時33分,121.59,24.03,3,8.6,花蓮縣政府西北方  5.0  公里 (位於花蓮縣新城鄉)
182,第032號,2月07日03時36分,121.74,24.05,4.6,5,花蓮縣政府東偏北方  14.2  公里 (位於臺灣東部海域)
183,小區域,2月07日03時37分,121.58,23.99,3.2,8.4,花蓮縣政府西方  3.9  公里 (位於花蓮縣吉安鄉)
184,小區域,2月07日03時51分,121.71,24.05,3.6,5,花蓮縣政府東偏北方  11.1  公里 (位於花蓮縣近海)
185,小區域,2月07日03時57分,121.66,24.18,3.6,8.3,花蓮縣政府北偏東方  21.2  公里 (位於花蓮縣近海)
186,小區域,2月07日04時02分,121.68,24.15,3.6,10.8,花蓮縣政府北偏東方  18.9  公里 (位於花蓮縣近海)
187,小區域,2月07日04時12分,121.66,24.09,3.6,9.5,花蓮縣政府北偏東方  12.0  公里 (位於花蓮縣近海)
188,小區域,2月07日04時25分,121.69,24.16,3.8,7.5,花蓮縣政府北偏東方  19.5  公里 (位於花蓮縣近海)
189,小區域,2月07日04時28分,121.58,24.03,3.1,6.4,花蓮縣政府西北方  6.1  公里 (位於花蓮縣秀林鄉)
190,小區域,2月07日04時30分,121.69,24.12,3.5,10.9,花蓮縣政府北偏東方  16.1  公里 (位於花蓮縣近海)
191,小區域,2月07日04時33分,121.74,24.05,4,5.1,花蓮縣政府東偏北方  13.4  公里 (位於臺灣東部海域)
192,小區域,2月07日04時40分,121.68,24.1,3.4,9.3,花蓮縣政府北偏東方  13.4  公里 (位於花蓮縣近海)
193,小區域,2月07日04時48分,121.66,24.01,3.9,10.8,花蓮縣政府東偏北方  4.4  公里 (位於花蓮縣近海)
194,小區域,2月07日04時51分,121.61,24.07,3.6,9.8,花蓮縣政府北方  8.8  公里 (位於花蓮縣近海)
195,小區域,2月07日04時51分,121.67,24.12,4,7.2,花蓮縣政府北偏東方  15.3  公里 (位於花蓮縣近海)
196,第033號,2月07日04時56分,121.64,24.09,4.6,6.5,花蓮縣政府北偏東方  11.6  公里 (位於花蓮縣近海)
197,小區域,2月07日04時58分,121.7,24.25,3.9,22,花蓮縣政府北偏東方  30.3  公里 (位於花蓮縣秀林鄉)
198,第034號,2月07日05時02分,121.59,23.99,4.4,7.9,花蓮縣政府西方  3.6  公里 (位於花蓮縣吉安鄉)
199,小區域,2月07日05時05分,121.59,24.09,3.7,15.4,花蓮縣政府北偏西方  11.6  公里 (位於花蓮縣秀林鄉)
200,小區域,2月07日05時06分,121.56,23.99,3.2,9.2,花蓮縣政府西方  5.6  公里 (位於花蓮縣吉安鄉)
201,小區域,2月07日05時14分,121.73,24.04,3.7,5.9,花蓮縣政府東偏北方  12.7  公里 (位於臺灣東部海域)
202,小區域,2月07日05時22分,121.59,24.03,3.4,7.5,花蓮縣政府西北方  5.7  公里 (位於花蓮縣新城鄉)
203,小區域,2月07日05時27分,121.56,24.1,3.6,7.2,花蓮縣政府北偏西方  13.7  公里 (位於花蓮縣秀林鄉)
204,小區域,2月07日05時37分,121.58,24.03,3.2,8.3,花蓮縣政府西北方  5.6  公里 (位於花蓮縣秀林鄉)
205,小區域,2月07日05時48分,121.58,24.03,3.2,7.9,花蓮縣政府西北方  5.3  公里 (位於花蓮縣秀林鄉)
206,小區域,2月07日05時56分,121.56,24.01,3.5,9.1,花蓮縣政府西偏北方  7.0  公里 (位於花蓮縣秀林鄉)
207,小區域,2月07日06時07分,121.58,23.99,3.4,6.7,花蓮縣政府西方  4.1  公里 (位於花蓮縣吉安鄉)
208,小區域,2月07日06時08分,121.6,24.02,3.3,3.6,花蓮縣政府西北方  3.8  公里 (位於花蓮縣新城鄉)
209,小區域,2月07日06時11分,121.59,24,2.9,5.5,花蓮縣政府西偏北方  3.2  公里 (位於花蓮縣花蓮市)
210,小區域,2月07日06時15分,121.62,24.06,3.2,7.6,花蓮縣政府北方  7.4  公里 (位於花蓮縣近海)
211,小區域,2月07日06時33分,121.6,24.04,3.1,6.1,花蓮縣政府北偏西方  6.0  公里 (位於花蓮縣新城鄉)
212,小區域,2月07日06時34分,121.62,23.99,3.3,5.8,花蓮縣政府北偏東方  .4  公里 (位於花蓮縣花蓮市)
213,小區域,2月07日06時35分,121.72,24.27,3.6,11.5,花蓮縣政府北偏東方  32.4  公里 (位於花蓮縣秀林鄉)
214,小區域,2月07日06時45分,121.59,24.02,3,7.6,花蓮縣政府西北方  4.5  公里 (位於花蓮縣新城鄉)
215,小區域,2月07日06時54分,121.77,24.04,3.9,6.7,花蓮縣政府東偏北方  16.2  公里 (位於臺灣東部海域)
216,第035號,2月07日07時11分,121.66,24.1,4.5,5,花蓮縣政府北偏東方  13.1  公里 (位於花蓮縣近海)
217,小區域,2月07日07時24分,121.59,24.01,3.9,5.7,花蓮縣政府西偏北方  3.7  公里 (位於花蓮縣花蓮市)
218,小區域,2月07日07時25分,121.58,24.01,3.2,7.9,花蓮縣政府西偏北方  4.2  公里 (位於花蓮縣花蓮市)
219,小區域,2月07日07時31分,121.58,24.05,3.1,2.4,花蓮縣政府西北方  7.6  公里 (位於花蓮縣秀林鄉)
220,小區域,2月07日07時34分,121.57,23.99,3,8.5,花蓮縣政府西方  4.6  公里 (位於花蓮縣吉安鄉)
221,第036號,2月07日07時43分,121.62,24.05,4.4,6.1,花蓮縣政府北方  6.7  公里 (位於花蓮縣近海)
222,小區域,2月07日07時46分,121.59,24.04,3,9.1,花蓮縣政府北偏西方  6.3  公里 (位於花蓮縣新城鄉)
223,小區域,2月07日07時56分,121.64,24.11,3.6,12.8,花蓮縣政府北方  13.0  公里 (位於花蓮縣近海)
224,小區域,2月07日08時09分,121.59,24.03,3.4,6.7,花蓮縣政府西北方  5.4  公里 (位於花蓮縣新城鄉)
225,小區域,2月07日08時28分,121.57,23.98,3.5,7.9,花蓮縣政府西方  4.7  公里 (位於花蓮縣吉安鄉)
226,小區域,2月07日08時55分,121.59,23.97,3.2,11,花蓮縣政府西偏南方  3.9  公里 (位於花蓮縣吉安鄉)
227,小區域,2月07日09時16分,121.59,23.98,2.9,8,花蓮縣政府西偏南方  3.5  公里 (位於花蓮縣花蓮市)
228,小區域,2月07日09時17分,121.65,24.16,3.7,8.4,花蓮縣政府北方  18.8  公里 (位於花蓮縣秀林鄉)
229,第037號,2月07日09時21分,121.71,24.03,4.2,5,花蓮縣政府東偏北方  10.7  公里 (位於花蓮縣近海)
230,小區域,2月07日09時26分,121.66,24.1,3.5,9.9,花蓮縣政府北偏東方  13.1  公里 (位於花蓮縣近海)
231,小區域,2月07日09時26分,121.65,24.11,3.9,12,花蓮縣政府北偏東方  13.6  公里 (位於花蓮縣近海)
232,小區域,2月07日09時30分,121.63,24.09,3.3,6.6,花蓮縣政府北方  10.8  公里 (位於花蓮縣近海)
233,小區域,2月07日09時42分,121.6,24.04,3.6,7.3,花蓮縣政府北偏西方  5.9  公里 (位於花蓮縣新城鄉)
234,小區域,2月07日09時42分,121.55,23.96,3.4,9.2,花蓮縣政府西偏南方  7.9  公里 (位於花蓮縣吉安鄉)
235,小區域,2月07日09時58分,121.57,24.1,3.4,6.9,花蓮縣政府北偏西方  13.2  公里 (位於花蓮縣秀林鄉)
236,第038號,2月07日10時18分,121.7,24.11,4.4,5,花蓮縣政府北偏東方  15.0  公里 (位於花蓮縣近海)
237,小區域,2月07日10時20分,121.55,23.93,3.3,17.1,花蓮縣政府西南方  9.8  公里 (位於花蓮縣吉安鄉)
238,小區域,2月07日10時26分,121.57,23.92,3.2,7.8,花蓮縣政府西南方  8.8  公里 (位於花蓮縣吉安鄉)
239,小區域,2月07日10時29分,121.59,23.98,3.7,7.6,花蓮縣政府西偏南方  3.7  公里 (位於花蓮縣花蓮市)
240,小區域,2月07日10時54分,121.65,24.08,3.8,2.6,花蓮縣政府北偏東方  10.6  公里 (位於花蓮縣近海)
241,小區域,2月07日11時18分,121.58,24.08,3.1,5,花蓮縣政府北偏西方  10.1  公里 (位於花蓮縣秀林鄉)
242,小區域,2月07日11時21分,121.74,24.17,3.6,12.3,花蓮縣政府東北方  22.9  公里 (位於花蓮縣近海)
243,小區域,2月07日11時26分,121.66,24.12,3.5,9.8,花蓮縣政府北偏東方  15.4  公里 (位於花蓮縣近海)
244,小區域,2月07日11時30分,121.62,24.11,3.2,11.2,花蓮縣政府北方  13.1  公里 (位於花蓮縣新城鄉)
245,第039號,2月07日11時36分,121.7,24.11,4.8,5,花蓮縣政府北偏東方  15.2  公里 (位於花蓮縣近海)
246,小區域,2月07日11時37分,121.67,24.11,3.7,6.1,花蓮縣政府北偏東方  14.5  公里 (位於花蓮縣近海)
247,小區域,2月07日11時40分,121.69,24.21,3.9,17.8,花蓮縣政府北偏東方  25.3  公里 (位於花蓮縣近海)
248,小區域,2月07日11時54分,121.59,24.03,3,4.4,花蓮縣政府西北方  5.5  公里 (位於花蓮縣新城鄉)
249,小區域,2月07日11時57分,121.62,24.09,3.9,8.6,花蓮縣政府北方  10.4  公里 (位於花蓮縣近海)
250,小區域,2月07日12時18分,121.59,23.99,3.4,7.2,花蓮縣政府西方  3.6  公里 (位於花蓮縣吉安鄉)
251,小區域,2月07日12時33分,121.58,24.01,3.8,5.9,花蓮縣政府西偏北方  4.5  公里 (位於花蓮縣花蓮市)
252,小區域,2月07日12時37分,121.59,24.02,3.1,9.3,花蓮縣政府西北方  5.2  公里 (位於花蓮縣新城鄉)
253,小區域,2月07日12時39分,121.59,24.02,3.9,5.8,花蓮縣政府西北方  4.5  公里 (位於花蓮縣新城鄉)
254,小區域,2月07日12時43分,121.58,24.02,3.6,5.9,花蓮縣政府西北方  5.2  公里 (位於花蓮縣新城鄉)
255,小區域,2月07日12時48分,121.55,23.96,3.7,23.8,花蓮縣政府西偏南方  8.1  公里 (位於花蓮縣吉安鄉)
256,第040號,2月07日12時50分,121.64,24.09,4.5,11.5,花蓮縣政府北偏東方  11.0  公里 (位於花蓮縣近海)
257,小區域,2月07日12時56分,121.74,24.21,3.6,14.2,花蓮縣政府北偏東方  26.6  公里 (位於花蓮縣近海)
258,小區域,2月07日12時56分,121.57,24.09,3.8,6.5,花蓮縣政府北偏西方  12.4  公里 (位於花蓮縣秀林鄉)
259,小區域,2月07日12時59分,121.6,24.09,3.5,5.3,花蓮縣政府北方  11.1  公里 (位於花蓮縣秀林鄉)
260,小區域,2月07日13時07分,121.68,24.01,3.9,5,花蓮縣政府東偏北方  6.3  公里 (位於花蓮縣近海)
261,小區域,2月07日13時09分,121.67,24.13,3.7,11.6,花蓮縣政府北偏東方  16.2  公里 (位於花蓮縣近海)
262,小區域,2月07日15時00分,121.59,24.05,3.3,15.9,花蓮縣政府北偏西方  7.8  公里 (位於花蓮縣秀林鄉)
263,小區域,2月07日15時39分,121.57,24.09,3.4,5.8,花蓮縣政府北偏西方  11.5  公里 (位於花蓮縣秀林鄉)
264,小區域,2月07日15時53分,121.74,24.18,3.6,13.8,花蓮縣政府北偏東方  23.8  公里 (位於花蓮縣近海)
265,第041號,2月07日16時23分,121.63,24.14,4,5,花蓮縣政府北方  16.6  公里 (位於花蓮縣秀林鄉)
266,小區域,2月07日17時04分,121.6,24.08,3.2,6.6,花蓮縣政府北方  9.7  公里 (位於花蓮縣秀林鄉)
267,小區域,2月07日17時31分,121.59,23.99,3.6,9.5,花蓮縣政府西方  2.8  公里 (位於花蓮縣吉安鄉)
268,小區域,2月07日17時35分,121.58,24,3.8,6.3,花蓮縣政府西偏北方  4.0  公里 (位於花蓮縣花蓮市)
269,小區域,2月07日17時35分,121.58,24.01,3.3,5.2,花蓮縣政府西偏北方  4.9  公里 (位於花蓮縣花蓮市)
270,小區域,2月07日17時46分,121.74,24.05,3.8,6.1,花蓮縣政府東偏北方  14.4  公里 (位於臺灣東部海域)
271,小區域,2月07日17時52分,121.58,23.99,3.1,6.7,花蓮縣政府西方  4.1  公里 (位於花蓮縣吉安鄉)
272,小區域,2月07日17時56分,121.59,23.95,3.4,11.3,花蓮縣政府西南方  5.4  公里 (位於花蓮縣吉安鄉)
273,第042號,2月07日18時19分,121.67,24.23,4.2,17.3,花蓮縣政府北偏東方  26.9  公里 (位於花蓮縣秀林鄉)
274,小區域,2月07日18時29分,121.69,24.2,3.8,12,花蓮縣政府北偏東方  24.0  公里 (位於花蓮縣近海)
275,小區域,2月07日18時33分,121.63,24.05,3.3,10,花蓮縣政府北偏東方  6.8  公里 (位於花蓮縣近海)
276,第043號,2月07日19時13分,121.7,24.03,4.7,5.7,花蓮縣政府東偏北方  9.3  公里 (位於花蓮縣近海)
277,小區域,2月07日19時19分,121.64,24.13,3.7,9.6,花蓮縣政府北方  15.9  公里 (位於花蓮縣新城鄉)
278,小區域,2月07日19時22分,121.63,24.08,3.9,10.7,花蓮縣政府北方  9.7  公里 (位於花蓮縣近海)
279,第044號,2月07日19時33分,121.54,23.91,4.1,12.9,花蓮縣政府西南方  11.9  公里 (位於花蓮縣壽豐鄉)
280,小區域,2月07日19時54分,121.55,24,3.3,14.5,花蓮縣政府西方  7.1  公里 (位於花蓮縣秀林鄉)
281,小區域,2月07日19時58分,121.8,24.04,4.4,11.6,花蓮縣政府東偏北方  18.9  公里 (位於臺灣東部海域)
282,小區域,2月07日20時39分,121.64,24.1,3.6,10.6,花蓮縣政府北方  12.7  公里 (位於花蓮縣近海)
283,第045號,2月07日20時51分,121.65,24.24,4,20.9,花蓮縣政府北方  28.1  公里 (位於花蓮縣秀林鄉)
284,第046號,2月07日21時06分,121.71,24.12,4.8,7.9,花蓮縣政府北偏東方  17.3  公里 (位於花蓮縣近海)
285,小區域,2月07日21時08分,121.69,24.12,4.3,10.7,花蓮縣政府北偏東方  15.8  公里 (位於花蓮縣近海)
286,小區域,2月07日21時39分,121.71,23.99,3.9,27.5,花蓮縣政府東方  9.0  公里 (位於花蓮縣近海)
287,小區域,2月07日21時58分,121.61,24.07,3.4,7.3,花蓮縣政府北方  8.9  公里 (位於花蓮縣近海)
288,小區域,2月07日22時17分,121.57,23.95,3.1,10.2,花蓮縣政府西南方  6.7  公里 (位於花蓮縣吉安鄉)
289,第047號,2月07日22時19分,121.63,24,4.1,5,花蓮縣政府東北方  1.6  公里 (位於花蓮縣花蓮市)
290,第048號,2月07日23時21分,121.79,24.12,5.7,10,花蓮縣政府東北方  22.1  公里 (位於臺灣東部海域)
291,小區域,2月07日23時23分,121.67,24.13,3.9,10.2,花蓮縣政府北偏東方  16.6  公里 (位於花蓮縣近海)
292,小區域,2月07日23時23分,121.69,24.15,3.9,10.1,花蓮縣政府北偏東方  19.0  公里 (位於花蓮縣近海)
293,小區域,2月07日23時24分,121.68,24.15,4.1,10.6,花蓮縣政府北偏東方  18.1  公里 (位於花蓮縣近海)
294,小區域,2月07日23時24分,121.69,24.12,3.5,10,花蓮縣政府北偏東方  16.2  公里 (位於花蓮縣近海)
295,小區域,2月07日23時31分,121.64,24.15,3.4,16.7,花蓮縣政府北方  17.4  公里 (位於花蓮縣秀林鄉)
296,小區域,2月07日23時37分,121.7,24.14,3.7,8.8,花蓮縣政府北偏東方  18.5  公里 (位於花蓮縣近海)
297,小區域,2月07日23時56分,121.8,24.12,3.9,7,花蓮縣政府東北方  22.8  公里 (位於臺灣東部海域)
298,小區域,2月08日00時18分,121.68,24.15,3.6,11,花蓮縣政府北偏東方  18.2  公里 (位於花蓮縣近海)
299,小區域,2月08日00時27分,121.62,24.04,3,8.1,花蓮縣政府北方  5.8  公里 (位於花蓮縣近海)
300,小區域,2月08日01時30分,121.6,24,3.4,6.5,花蓮縣政府西偏北方  2.7  公里 (位於花蓮縣花蓮市)
301,小區域,2月08日01時30分,121.58,24,3.4,8.1,花蓮縣政府西偏北方  4.5  公里 (位於花蓮縣花蓮市)
302,第049號,2月08日02時02分,121.74,23.98,4.2,23.9,花蓮縣政府東方  12.5  公里 (位於臺灣東部海域)
303,小區域,2月08日02時17分,121.58,23.99,2.9,6.7,花蓮縣政府西方  4.2  公里 (位於花蓮縣吉安鄉)
304,小區域,2月08日02時19分,121.59,24,2.9,5.2,花蓮縣政府西偏北方  3.0  公里 (位於花蓮縣花蓮市)
305,小區域,2月08日02時20分,121.59,24,3.4,5.7,花蓮縣政府西偏北方  3.7  公里 (位於花蓮縣花蓮市)
306,小區域,2月08日02時22分,121.56,23.93,3.2,21.7,花蓮縣政府西南方  8.8  公里 (位於花蓮縣吉安鄉)
307,第050號,2月08日02時43分,121.56,23.95,4.2,10.5,花蓮縣政府西偏南方  7.6  公里 (位於花蓮縣吉安鄉)
308,小區域,2月08日04時53分,121.58,24.04,2.9,5.3,花蓮縣政府西北方  7.0  公里 (位於花蓮縣秀林鄉)
309,第051號,2月08日05時34分,121.83,24.38,4.1,15.4,宜蘭縣政府南方  39.8  公里 (位於宜蘭縣近海)
310,小區域,2月08日05時56分,121.72,24.09,3.7,7.3,花蓮縣政府東北方  14.4  公里 (位於臺灣東部海域)
311,小區域,2月08日06時29分,121.58,24,3.1,9,花蓮縣政府西方  4.3  公里 (位於花蓮縣花蓮市)
312,小區域,2月08日06時34分,121.59,24.04,2.9,3,花蓮縣政府北偏西方  6.8  公里 (位於花蓮縣新城鄉)
313,小區域,2月08日06時44分,121.68,24.13,3.4,9.7,花蓮縣政府北偏東方  16.0  公里 (位於花蓮縣近海)
314,小區域,2月08日07時01分,121.59,24,3.2,6.2,花蓮縣政府西偏北方  3.5  公里 (位於花蓮縣花蓮市)
