,地震編號,臺灣時間,Longitude,Latitude,magnitude,depth,震央位置
439,小區域,2月13日09時27分,121.62,24.06,3.3,7.6,花蓮縣政府北方  7.6  公里 (位於花蓮縣近海)
440,小區域,2月13日10時51分,121.58,23.95,3.3,13.1,花蓮縣政府西南方  6.4  公里 (位於花蓮縣吉安鄉)
441,小區域,2月13日10時57分,121.56,23.94,3.5,20.5,花蓮縣政府西南方  8.9  公里 (位於花蓮縣吉安鄉)
442,小區域,2月13日13時37分,121.65,24.11,3.4,12.3,花蓮縣政府北偏東方  13.9  公里 (位於花蓮縣近海)
443,小區域,2月13日22時41分,121.56,23.92,3.4,10.4,花蓮縣政府西南方  10.0  公里 (位於花蓮縣壽豐鄉)
444,小區域,2月14日07時56分,121.67,24.18,3.6,11.2,花蓮縣政府北偏東方  21.2  公里 (位於花蓮縣近海)
445,第062號,2月14日08時16分,121.55,23.91,4,10.9,花蓮縣政府西南方  11.3  公里 (位於花蓮縣壽豐鄉)
446,小區域,2月14日08時17分,121.56,23.91,3.9,10.9,花蓮縣政府西南方  11.3  公里 (位於花蓮縣壽豐鄉)
447,第063號,2月14日08時21分,121.56,23.9,4,16,花蓮縣政府西南方  11.8  公里 (位於花蓮縣壽豐鄉)
448,小區域,2月14日08時24分,121.56,23.93,3.5,9.9,花蓮縣政府西南方  9.4  公里 (位於花蓮縣吉安鄉)
449,小區域,2月14日08時32分,121.55,23.92,3,9.3,花蓮縣政府西南方  10.4  公里 (位於花蓮縣壽豐鄉)
450,小區域,2月14日13時54分,121.57,23.93,3.8,6.9,花蓮縣政府西南方  8.4  公里 (位於花蓮縣吉安鄉)
451,小區域,2月15日01時32分,121.59,23.98,3.3,9.4,花蓮縣政府西偏南方  2.9  公里 (位於花蓮縣花蓮市)
452,小區域,2月15日02時27分,121.8,24.23,4.3,11.2,花蓮縣政府東北方  31.6  公里 (位於臺灣東部海域)
453,小區域,2月15日03時08分,121.71,24.24,3.9,11.8,花蓮縣政府北偏東方  28.6  公里 (位於花蓮縣近海)
454,小區域,2月15日04時36分,121.69,24.22,3.5,16.5,花蓮縣政府北偏東方  26.8  公里 (位於花蓮縣近海)
455,小區域,2月15日06時40分,121.75,24.18,3.8,15.9,花蓮縣政府北偏東方  24.9  公里 (位於花蓮縣近海)
456,小區域,2月15日12時17分,121.7,24.15,3.5,10.1,花蓮縣政府北偏東方  19.3  公里 (位於花蓮縣近海)
457,小區域,2月15日15時12分,121.43,23.96,3.6,19.1,花蓮縣政府西方  19.6  公里 (位於花蓮縣秀林鄉)
458,小區域,2月16日00時51分,121.75,24.28,3.5,11.5,花蓮縣政府北偏東方  35.0  公里 (位於花蓮縣近海)
459,第064號,2月16日00時55分,121.76,24.28,4,14.1,花蓮縣政府北偏東方  34.8  公里 (位於花蓮縣近海)
460,小區域,2月16日07時34分,121.7,24.21,3.8,18.2,花蓮縣政府北偏東方  25.6  公里 (位於花蓮縣近海)
461,小區域,2月16日09時48分,121.57,23.98,3.3,7.8,花蓮縣政府西方  4.9  公里 (位於花蓮縣吉安鄉)
462,小區域,2月16日14時12分,121.61,24.05,3.2,6.6,花蓮縣政府北偏西方  6.5  公里 (位於花蓮縣新城鄉)
463,小區域,2月16日15時49分,121.58,23.94,3.5,15.3,花蓮縣政府南偏西方  7.1  公里 (位於花蓮縣吉安鄉)
464,小區域,2月16日18時49分,121.71,24.2,3.7,17.3,花蓮縣政府北偏東方  25.2  公里 (位於花蓮縣近海)
465,小區域,2月17日03時48分,121.72,24.2,3.6,16.8,花蓮縣政府北偏東方  25.0  公里 (位於花蓮縣近海)
